trial_number,right,flipped,correct,block,left,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,flipwelcome.keys,flipwelcome.corr,flipwelcome.rt,flippreparations.keys,flippreparations.rt,flipInstructions.keys,flipInstructions.rt,time_at_fixation_cross_onset,time_at_videoonset,time_at_videoend,participant_key_response,time_at_key_response,date,frameRate,expName,participant,
286,vcgpdm_dyn(5)-lvm(20)_final(0).mov,False,left,1,training(7).mov,0,126,126,141,,,,,,,,08:31:23:767,08:31:24:488,08:31:27:474,left,08:31:27:974,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
287,training(15).mov,False,right,1,vgpdm_dyn(10)-lvm(5)_final(8).mov,0,127,127,150,,,,,,,,08:31:28:770,08:31:29:475,08:31:32:479,right,08:31:32:846,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
288,training(41).mov,False,right,1,vcgpdm_dyn(10)-lvm(20)_final(0).mov,0,128,128,135,,,,,,,,08:31:33:644,08:31:34:347,08:31:37:349,right,08:31:37:683,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
289,vcgpdm_dyn(10)-lvm(20)_final(8).mov,True,left,1,training(15).mov,0,129,129,56,,,,,,,,08:31:38:457,08:31:39:184,08:31:42:186,left,08:31:42:604,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
290,vcgpdm_dyn(5)-lvm(5)_final(1).mov,False,left,1,training(31).mov,0,130,130,125,,,,,,,,08:31:43:381,08:31:44:105,08:31:47:107,right,08:31:47:641,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
291,training(23).mov,True,right,1,vgpdm_dyn(15)-lvm(20)_final(8)_out_of_screen.mov,0,131,131,0,,,,,,,,08:31:48:428,08:31:49:159,08:31:52:145,right,08:31:52:596,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
292,training(7).mov,True,right,1,vcgpdm_dyn(15)-lvm(10)_final(3).mov,0,132,132,11,,,,,,,,08:31:53:412,08:31:54:097,08:31:57:100,right,08:31:57:867,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
293,training(6).mov,True,right,1,dmp_npsi(40)_final(8).mov,0,133,133,45,,,,,,,,08:31:58:649,08:31:59:368,08:32:02:370,left,08:32:02:969,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
294,vgpdm_dyn(15)-lvm(35)_final(6).mov,True,left,1,training(13).mov,0,134,134,13,,,,,,,,08:32:03:748,08:32:04:470,08:32:07:474,left,08:32:08:008,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
295,vcgpdm_dyn(20)-lvm(20)_final(1).mov,True,left,1,training(30).mov,0,135,135,130,,,,,,,,08:32:08:797,08:32:09:509,08:32:12:511,left,08:32:12:912,2018_May_30_0802,59.9419238601,MP-Perception Experiment,xx04m20,
